Ward,Suburb,Property_code,Park_Name,Node_ID,Node_Name,Item_ID,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing,Equipment_ID
MCDOWALL,EVERTON PARK,D0948,SOAMES STREET PARK,B-RE-0037-N002,HOLLOWAY DVE PICNIC AREA,148430,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3912,152.982,498235,6970240,200541856
DOBOY,MURARRIE,D2047,WYANDRA CRESCENT PARK,B-RE-0039-N002,WYANDRA CRESCENT (STOCKYARD PK) PLAYGROUND,101573,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4626,153.092,509100,6962320,200513296
DOBOY,WAKERLEY,D2050,MOSS ROAD (NO 42),B-RE-0041-N003,WATERVALE PDE DOG OFF LEASH AREA,196406,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH BOWL,-27.481,153.162,516047,6960280,100262924
DOBOY,WAKERLEY,D2042,GORDON CRESCENT PARK,B-RE-0046-N002,GORDON CRES PLAYGROUND,34997,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4803,153.153,515124,6960360,100107287
JAMBOREE,RIVERHILLS,D2040,NEWCOMB PARK,B-RE-0047-N008,SUMNERS RD SKATE & BMX FACILITY,196205,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER,-27.5625,152.9,490106,6951250,100252294
DOBOY,WAKERLEY,D2052,BEHAN CRESCENT PARK,B-RE-0048-N002,BEHAN CRES PLAYGROUND,187563,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.4811,153.155,515280,6960270,100108156
NORTHGATE,NUDGEE,D2054,ALEXANDER MACPHERSON PARK,B-RE-0049-N002,ALEXANDER MACPHERSON PK PLAYGROUND,89428,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3715,153.089,508752,6972410,200509114
FOREST LAKE,FOREST LAKE,D2035,JUBILEE AVENUE PARK,B-RE-0062-N001,JUBILEE AVE PICNIC AREA,42594,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6271,152.946,494702,6944110,200486671
JAMBOREE,RIVERHILLS,D2031,WOLSTON CREEK BUSHLAND RESERVE,B-RE-0066-N004,BALANCE OF PARK,41577,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5658,152.903,490404,6950890,200486195
JAMBOREE,RIVERHILLS,D2031,WOLSTON CREEK BUSHLAND RESERVE,B-RE-0066-N004,BALANCE OF PARK,45867,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5635,152.903,490416,6951140,200488262
MCDOWALL,BRIDGEMAN DOWNS,D2030,TRAVORTEN DRIVE PARK,B-RE-0067-N002,BALANCE OF PARK,37678,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.3336,153.005,500512,6976610,200484160
CALAMVALE,PARKINSON,D2028,TALISKER PLACE PARK,B-RE-0069-N004,TALISKER PLACE PICNIC AREA,37647,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6396,153.025,502464,6942720,200484143
THE GABBA,HIGHGATE HILL,D2103,BRYDON STREET PARK,B-RE-0080-N001,BRYDON ST PK FITNESS STATION,79679,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4886,153.016,501597,6959450,200504352
MCDOWALL,MCDOWALL,D2083,SUNSET PLACE PARK,B-RE-0093-N003,SUNSET PLACE PICNIC AREA,46771,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3815,152.984,498417,6971310,200488377
MACGREGOR,EIGHT MILE PLAINS,D2077,KAOHSIUNG PARK,B-RE-0098-N003,HIGHVALE ST PLAYGROUND,170718,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5834,153.08,507935,6948940,200554618
NORTHGATE,NUDGEE,D2150,REDWAY STREET PARK,B-RE-0108-N001,BALANCE OF PARK,89467,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3735,153.087,508578,6972200,200509150
CALAMVALE,PARKINSON,D2147,WATHEROO PLACE PARK,B-RE-0111-N001,WATHEROO PLACE PICNIC AREA,174184,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.641,153.018,501804,6942560,200557067
FOREST LAKE,FOREST LAKE,D2015,ROXWELL STREET PARK,B-RE-0120-N001,PATON CRES PICNIC AREA,44382,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6242,152.946,494663,6944420,200487334
