Ward,Suburb,Property_code,Park_Name,Node_ID,Node_Name,Item_ID,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing,Equipment_ID
THE GAP,FERNY GROVE,D0631,KEPERRA PICNIC GROUND PARK,B-RE-1531-N006,BALANCE OF PARK,124157,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4126,152.942,494294,6967860,200528877
THE GAP,FERNY GROVE,D0631,KEPERRA PICNIC GROUND PARK,B-RE-1531-N009,UPPER KEDRON RD PICNIC AREA,40973,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.412,152.942,494243,6967930,200485912
JAMBOREE,DARRA,D0705,SANANANDA STREET PARK,B-RE-1536-N001,SANANANDA ST HALF COURT,44280,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5734,152.943,494355,6950050,200487260
MCDOWALL,STAFFORD HEIGHTS,D0702,SEDGEMOOR STREET PARK,B-RE-1539-N002,BALANCE OF PARK,152206,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3988,153.006,500544,6969400,200544232
PADDINGTON,RED HILL,D0701,BRIDGE STREET PARK,B-RE-1540-N002,BRIDGE ST ACTIVITY SPACE,28769,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4468,153.001,500083,6964070,200480316
HAMILTON,HAMILTON,D0699,HERCULES STREET PARK,B-RE-1542-N001,BALANCE OF PARK,33252,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4388,153.069,506844,6964960,200481930
HAMILTON,HAMILTON,D0699,HERCULES STREET PARK,B-RE-1542-N004,HERCULES ST DOG OFF LEASH AREA,48140,BUBBLER/DRINKING FOUNTAIN,BUBBLER & DOG BOWL,-27.4391,153.07,506925,6964930,200488632
HAMILTON,HAMILTON,D0699,HERCULES STREET PARK,B-RE-1542-N005,HERCULES ST PICNIC AREA,176934,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4392,153.069,506863,6964910,200558502
NORTHGATE,VIRGINIA,D0696,A.R.C.HILL PARK,B-RE-1545-N007,GOSS RD PICNIC AREA,180443,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.3855,153.056,505529,6970860,200560420
THE GABBA,WEST END,D0695,WEST END COMMUNITY PARK,B-RE-1546-N002,BALANCE OF PARK,51436,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4798,153.012,501196,6960430,100119448
NORTHGATE,NORTHGATE,D0692,SAPSFORD STREET PARK,B-RE-1547-N001,BALANCE OF PARK,52793,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER,-27.3933,153.065,506387,6970000,100124322
RUNCORN,SUNNYBANK HILLS,D0687,WESTAWAY PARK,B-RE-1551-N002,BALANCE OF PARK,184212,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5905,153.053,505187,6948160,200562820
RUNCORN,SUNNYBANK HILLS,D0687,WESTAWAY PARK,B-RE-1551-N002,BALANCE OF PARK,184269,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5912,153.053,505185,6948080,200562877
MACGREGOR,KURABY,D0685,WALLY TATE PARK,B-RE-1553-N006,WALLY TATE PK SKATE FACILITY,28885,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6043,153.093,509130,6946630,200480349
MACGREGOR,KURABY,D0685,WALLY TATE PARK,B-RE-1553-N011,WALLY TATE PK DOG OFF LEASH AREA,50684,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6022,153.09,508902,6946860,100117786
MACGREGOR,KURABY,D0685,WALLY TATE PARK,B-RE-1553-N011,WALLY TATE PK DOG OFF LEASH AREA,81235,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6021,153.091,508971,6946870,100089656
MACGREGOR,KURABY,D0685,WALLY TATE PARK,B-RE-1553-N017,BESLINE ST SHARED BIKEWAY & PATH NETWORK,2877,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5992,153.096,509432,6947190,200471310
MCDOWALL,STAFFORD HEIGHTS,D0684,FLOCKTON STREET PARK,B-RE-1554-N002,FLOCKTON ST PLAYGROUND,152075,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3958,153.002,500157,6969720,200544130
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N001,SCOUT PLACE LOOKOUT,39784,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4808,153.033,503284,6960310,200485262
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N003,LOWER RIVER TERRACE PICNIC AREA,118752,BUBBLER/DRINKING FOUNTAIN,BUBBLER - APPOLLO 400,-27.4798,153.033,503285,6960430,200524375
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N004,THE CLIFFS BOARWALK (CAP COOK BDGE TO MANGROVES),118709,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4794,153.033,503309,6960460,200524333
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N008,RIVER TCE PICNIC AREA (OPP OZCARE),122394,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4777,153.035,503432,6960650,200527466
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N010,RIVER TCE PICNIC AREA (OPP WALMSLEY ST),24695,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4813,153.033,503249,6960260,200478894
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N010,RIVER TCE PICNIC AREA (OPP WALMSLEY ST),118387,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4817,153.033,503227,6960210,200524038
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N011,THE CLIFFS WALK (MARITIME MUSEUM TO CAPT COOK BDGE),118865,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4823,153.03,502962,6960140,200524484
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N013,KP CLIFFS LOWER PICNIC AREA,27331,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4788,153.034,503344,6960530,200479583
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N013,KP CLIFFS LOWER PICNIC AREA,39783,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4792,153.033,503309,6960490,200485261
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N013,KP CLIFFS LOWER PICNIC AREA,118945,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4787,153.034,503342,6960540,200524564
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N013,KP CLIFFS LOWER PICNIC AREA,118949,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4786,153.034,503334,6960550,200524568
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N014,RIVER TCE PICNIC AREA (OPP PATON ST),24734,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4787,153.034,503377,6960550,200478910
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N020,THE CLIFFS BOARDWALK (MANGROVES TO NAVAL STORES),2756,BUBBLER/DRINKING FOUNTAIN,ONE BUBBLER,-27.4777,153.034,503382,6960660,200471275
THE GABBA,KANGAROO POINT,D0680,KANGAROO POINT CLIFFS PARK,B-RE-1557-N020,THE CLIFFS BOARDWALK (MANGROVES TO NAVAL STORES),2757,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4754,153.034,503395,6960910,200471276
CALAMVALE,ALGESTER,D0678,COL BENNET PARK,B-RE-1559-N003,YORELL ST PLAYGROUND,119127,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6164,153.028,502788,6945290,200524744
PULLENVALE,BELLBOWRIE,D0675,DIOSMA STREET PARK,B-RE-1562-N002,MAZZARD ST PLAYGROUND,119894,BUBBLER/DRINKING FOUNTAIN,2 TAPS 1 FOUNTAIN,-27.5593,152.882,488374,6951610,200525186
RUNCORN,RUNCORN,D0672,WILLIAMS PARK,B-RE-1565-N002,WILLIAMS PK PICNIC AREA,124245,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6028,153.071,507003,6946800,200528956
THE GAP,FERNY GROVE,D0671,LECKMY STREET PARK,B-RE-1566-N002,LECKMY ST PLAYGROUND,41120,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3988,152.928,492881,6969390,200485980
RUNCORN,RUNCORN,D0666,DEW STREET PARK,B-RE-1570-N002,INDIANS BASEBALL CLUB FACILITIES,44462,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5907,153.073,507229,6948140,200527509
MACGREGOR,EIGHT MILE PLAINS,D0742,SUMMERGLEN PARK,B-RE-1572-N001,BALANCE OF PARK,161679,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.5896,153.089,508824,6948250,200548979
MACGREGOR,EIGHT MILE PLAINS,D0742,SUMMERGLEN PARK,B-RE-1572-N002,SUMMERGLEN PK PLAYGROUND,170702,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5896,153.089,508824,6948250,200554610
BRACKEN RIDGE,CARSELDINE,D0741,CHATEAU STREET PARK,B-RE-1573-N001,CHATEAU ST PLAYGROUND,152759,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3467,153.008,500833,6975170,200544637
MCDOWALL,STAFFORD HEIGHTS,D0739,GREY GUM PARK,B-RE-1575-N002,BALANCE OF PARK,29002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3923,153.004,500402,6970110,200480388
MCDOWALL,STAFFORD HEIGHTS,D0739,GREY GUM PARK,B-RE-1575-N003,REMICK ST DOG OFF LEASH AREA,30047,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3919,153.004,500412,6970150,200480586
MCDOWALL,STAFFORD HEIGHTS,D0739,GREY GUM PARK,B-RE-1575-N003,REMICK ST DOG OFF LEASH AREA,70244,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER OUTSIDE SMALL DOLA,-27.3908,153.004,500384,6970280,200501322
MCDOWALL,STAFFORD HEIGHTS,D0739,GREY GUM PARK,B-RE-1575-N003,REMICK ST DOG OFF LEASH AREA,154868,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",-27.3907,153.005,500508,6970290,200546370
BRACKEN RIDGE,CARSELDINE,D0735,PHILIP VAUGHAN PARK,B-RE-1579-N003,BALANCE OF PARK,66038,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3592,153.008,500826,6973780,200500180
MORNINGSIDE,MORNINGSIDE,D0732,THYNNE ROAD PARK,B-RE-1582-N001,BALANCE OF PARK,166214,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4692,153.07,506937,6961590,200551626
MOOROOKA,COOPERS PLAINS,D0730,BERYL ROBERTS PARK,B-RE-1584-N005,ARRUNGA ST DOG OFF LEASH AREA,50559,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5658,153.044,504303,6950890,200488989
MOOROOKA,COOPERS PLAINS,D0730,BERYL ROBERTS PARK,B-RE-1584-N007,BARHAM ST PICNIC AREA,36937,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5664,153.042,504126,6950830,200483718
HOLLAND PARK,MOUNT GRAVATT EAST,D0728,SCURR PARK,B-RE-1586-N002,SCURR PK PLAYGROUND,5627,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5264,153.089,508812,6955260,200472290
DEAGON,BOONDALL,D0727,FRANK SLEEMAN PARK,B-RE-1587-N002,BALANCE OF PARK,43173,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3611,153.059,505820,6973570,200486847
MACGREGOR,WISHART,D0725,WISHART COMMUNITY PARK,B-RE-1588-N001,MAIBRY ST PICNIC AREA,45468,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5605,153.103,510199,6951480,200488014
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N002,BULIMBA CK OUTLOOK PICNIC AREA,81722,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4978,153.109,510746,6958420,200505183
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N003,CARINDALE REC RES DOG OFF LEASH AREA,104492,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,-27.4981,153.109,510787,6958390,200515353
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N005,CADOGAN ST FITNESS CIRCUIT & ACTIVITY SPACE,104466,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4973,153.11,510848,6958480,200515332
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N006,CARINDALE REC RES DISTRICT PLAYGROUND,32464,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4973,153.109,510766,6958480,200481711
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N006,CARINDALE REC RES DISTRICT PLAYGROUND,104315,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4969,153.109,510750,6958530,200515247
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N007,BALANCE OF PARK,180867,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN APOLLO 400,-27.4977,153.109,510718,6958430,200560590
CHANDLER,CARINDALE,D0723,CARINDALE RECREATION RESERVE,B-RE-1590-N008,CADOGAN ST PICNIC AREA,23664,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5002,152.96,496095,6958160,100084211
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N001,BANDSTAND & AMPHITHEATRE,2062,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4772,152.976,497633,6960710,200471033
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N001,BANDSTAND & AMPHITHEATRE,139386,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4779,152.976,497631,6960630,200537424
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N009,BALANCE OF PARK,2066,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4773,152.973,497341,6960700,200471037
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N009,BALANCE OF PARK,24781,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4778,152.974,497472,6960640,200478928
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N009,BALANCE OF PARK,45150,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4754,152.979,497908,6960910,200487816
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N009,BALANCE OF PARK,138899,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4772,152.977,497696,6960710,200537277
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N009,BALANCE OF PARK,146871,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4763,152.974,497386,6960810,200541442
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N014,AMERICAN REGION PLANTS,140415,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4776,152.974,497442,6960660,200537570
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N014,AMERICAN REGION PLANTS,146231,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4785,152.975,497522,6960560,200541334
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N017,KITCHEN IN GARDEN & FRUIT TREE ORCHARD,100123855,BUBBLER/DRINKING FOUNTAIN,WHEELCHAIR ACCESSIBLE DRINKING FOUNTAIN,-27.4766,152.979,497952,6960770,100123855
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N018,AUSTRALIAN PLANT COMMUNITIES,157661,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4793,152.972,497262,6960480,200548637
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N023,ARID REGION PLANTS,2065,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,-27.4767,152.978,497851,6960760,200471036
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N023,ARID REGION PLANTS,45051,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4759,152.978,497818,6960850,200487749
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N023,ARID REGION PLANTS,45125,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4763,152.978,497843,6960810,200487801
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N023,ARID REGION PLANTS,137702,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.476,152.978,497857,6960850,200537013
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N025,JAPANESE GARDEN,139363,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4773,152.977,497759,6960700,200537407
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N026,FRAGRANT PLANTS,2063,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.476,152.977,497686,6960840,200471034
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N026,FRAGRANT PLANTS,137485,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4761,152.978,497798,6960830,200536973
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N028,AUSTRALIAN RAINFOREST (MT COOT-THA RD),136841,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4751,152.976,497655,6960940,200536793
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N028,AUSTRALIAN RAINFOREST (MT COOT-THA RD),147534,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4744,152.976,497652,6961010,200541597
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N030,WESTERN LAKE & WETLANDS,158603,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4804,152.97,497049,6960360,200548692
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N031,FLOWERING TREES & SHRUBS,2064,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4766,152.977,497700,6960780,200471035
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N031,FLOWERING TREES & SHRUBS,139319,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4768,152.976,497616,6960750,200537391
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N032,AUSTRALIAN FOREST COMMUNITIES,157667,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.478,152.972,497236,6960620,200548640
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N032,AUSTRALIAN FOREST COMMUNITIES,157977,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4794,152.971,497163,6960460,200548655
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N032,AUSTRALIAN FOREST COMMUNITIES,158226,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4785,152.971,497184,6960560,200548658
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N032,AUSTRALIAN FOREST COMMUNITIES,158606,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.48,152.97,497064,6960400,200548695
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N032,AUSTRALIAN FOREST COMMUNITIES,158828,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4792,152.97,497011,6960480,200548704
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N032,AUSTRALIAN FOREST COMMUNITIES,160307,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4793,152.971,497128,6960480,200548750
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N039,SIR THOMAS BRISBANE PLANETARIUM,137106,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4755,152.977,497705,6960890,200536897
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N042,DEMONSTRATION GARDEN,138073,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4767,152.979,497914,6960760,200537082
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N046,KUTA KIDS PLAYGROUND MT COOT-THA BOT GDNS,100121149,BUBBLER/DRINKING FOUNTAIN,WHEELCHAIR ACCESSIBLE DRINKING FOUNTAIN,-27.4773,152.98,497979,6960700,100121149
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N046,KUTA KIDS PLAYGROUND MT COOT-THA BOT GDNS,100121344,BUBBLER/DRINKING FOUNTAIN,WATER TAP AND BUBBLER,-27.4773,152.98,497985,6960700,100121344
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N048,ROSS MCKINNON LAGOON & CIRCUIT PATH,100123094,BUBBLER/DRINKING FOUNTAIN,WATER TAP AND BUBBLER,-27.4776,152.979,497926,6960670,100123094
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N048,ROSS MCKINNON LAGOON & CIRCUIT PATH,100123346,BUBBLER/DRINKING FOUNTAIN,WATER TAP AND BUBBLER,-27.4772,152.98,498019,6960710,100123346
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N048,ROSS MCKINNON LAGOON & CIRCUIT PATH,100123567,BUBBLER/DRINKING FOUNTAIN,WATER TAP AND BUBBLER,-27.4768,152.98,498056,6960760,100123567
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N049,LEGACY WAY CONSERVATION WALK & EVENTS SPACE,166925,BUBBLER/DRINKING FOUNTAIN,WHEELCHAIR ACCESSIBLE DRINKING FOUNTAIN,-27.4781,152.976,497647,6960600,100133058
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N049,LEGACY WAY CONSERVATION WALK & EVENTS SPACE,100123101,BUBBLER/DRINKING FOUNTAIN,WATER TAP AND BUBBLER,-27.4781,152.977,497752,6960610,100123101
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N049,LEGACY WAY CONSERVATION WALK & EVENTS SPACE,100123121,BUBBLER/DRINKING FOUNTAIN,WHEELCHAIR ACCESSIBLE DRINKING FOUNTAIN,-27.4777,152.978,497850,6960650,100123121
PULLENVALE,MOUNT COOT-THA,D0647,MT COOT-THA BOTANIC GARDEN,B-RE-1597-N050,MT COOT-THA VISITOR CENTRE NODE,120541,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN DISABLED,-27.4761,152.977,497767,6960830,100123502
COORPAROO,COORPAROO,D0646,COORPAROO CREEK RESERVE,B-RE-1598-N001,BALANCE OF PARK,194606,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4954,153.055,505475,6958690,100136239
CALAMVALE,ALGESTER,D0644,TIMBERLAND PARK,B-RE-1600-N006,TIMBERLAND PK PLAYGROUND,1693,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6142,153.035,503413,6945540,200470830
DEAGON,SANDGATE,D0643,CURLEW PARK,B-RE-1601-N003,BALANCE OF PARK,107016,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3239,153.074,507293,6977690,200516517
DEAGON,SANDGATE,D0643,CURLEW PARK,B-RE-1601-N003,BALANCE OF PARK,107017,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3242,153.074,507285,6977660,200516518
DEAGON,SANDGATE,D0643,CURLEW PARK,B-RE-1601-N004,CURLEW PK DOG OFF LEASH AREA,107163,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3258,153.073,507255,6977480,200516608
DEAGON,SANDGATE,D0643,CURLEW PARK,B-RE-1601-N004,CURLEW PK DOG OFF LEASH AREA,107164,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3262,153.073,507244,6977430,200516609
DEAGON,SANDGATE,D0643,CURLEW PARK,B-RE-1601-N004,CURLEW PK DOG OFF LEASH AREA,100101864,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.3268,153.073,507238,6977370,100101864
DEAGON,SANDGATE,D0643,CURLEW PARK,B-RE-1601-N007,CURLEW PK COMMUNITY SPORTS FACILITIES,1595,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3254,153.072,507076,6977530,200470798
PULLENVALE,KENMORE,D0642,CROMARTY STREET PARK,B-RE-1602-N001,BALANCE OF PARK,1587,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5132,152.931,493164,6956720,200470793
DOBOY,TINGALPA,D0640,MEADOWLANDS PICNIC GROUND PARK,B-RE-1604-N007,MEADOWLAMDS PICNIC GND NTH PICNIC AREA,164727,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4928,153.123,512140,6958970,200550599
DOBOY,TINGALPA,D0640,MEADOWLANDS PICNIC GROUND PARK,B-RE-1604-N008,MEADOWLANDS PICNIC GND STH PICNIC AREA,164809,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4931,153.122,512030,6958940,200550668
